goal,shot_statsbomb_xg,minute,second,possession,play_pattern,possession_team,team,player,shot_body_part,shot_technique,shot_type,under_pressure,off_camera,shot_outcome,x,y,competition
0,0.0068775634,10,8,26,3,0,0,17,2,1,1,,,4,90.8,19.0,Indian Super league 2021/2022
0,0.19758572,13,50,31,3,1,1,8,0,1,1,,,2,111.8,39.3,Indian Super league 2021/2022
0,0.03577913,20,16,44,1,1,1,15,2,1,1,,,2,93.9,49.1,Indian Super league 2021/2022
0,0.006838626,29,18,68,3,1,1,0,2,1,1,,,0,90.2,18.8,Indian Super league 2021/2022
0,0.031175608,38,25,82,2,1,1,18,2,1,1,,,3,104.5,55.9,Indian Super league 2021/2022
0,0.041324764,38,27,82,2,1,1,8,1,0,1,True,,5,111.0,24.9,Indian Super league 2021/2022
0,0.018697426,40,47,86,1,1,1,12,1,1,1,,,2,89.3,50.8,Indian Super league 2021/2022
0,0.07827923,45,40,93,1,0,0,6,0,1,1,,,4,110.7,33.2,Indian Super league 2021/2022
0,0.023992674,48,5,104,1,0,0,9,2,1,1,,,4,88.7,45.9,Indian Super league 2021/2022
0,0.09305495,54,52,118,5,0,0,3,2,1,1,,,2,106.7,48.5,Indian Super league 2021/2022
0,0.032857098,58,44,124,0,1,1,12,1,1,1,,,2,92.6,33.0,Indian Super league 2021/2022
0,0.053034723,61,52,132,5,0,0,3,2,1,1,,,4,102.2,47.3,Indian Super league 2021/2022
0,0.03701639,64,33,137,3,0,0,6,2,1,1,,,0,102.9,41.5,Indian Super league 2021/2022
1,0.061114587,67,55,145,5,1,1,15,2,1,1,,,1,99.0,51.6,Indian Super league 2021/2022
0,0.032599345,70,26,147,3,0,0,5,2,1,1,,,0,106.4,26.4,Indian Super league 2021/2022
0,0.09148145,75,30,155,1,0,0,3,2,1,0,,,4,99.8,38.4,Indian Super league 2021/2022
0,0.18444449,75,32,155,1,0,0,10,1,0,1,,,2,116.1,34.9,Indian Super league 2021/2022
0,0.03049218,82,24,164,5,1,1,18,2,1,1,,,4,101.1,24.4,Indian Super league 2021/2022
0,0.08926629,84,43,172,1,1,1,0,2,1,0,,,4,99.9,45.2,Indian Super league 2021/2022
0,0.23580356,84,46,172,1,1,1,13,2,0,1,,,4,115.0,32.2,Indian Super league 2021/2022
1,0.020677071,87,17,175,1,0,0,16,2,0,1,,,1,98.7,54.2,Indian Super league 2021/2022
0,0.17265096,89,39,178,3,1,1,18,0,1,1,,,2,113.2,45.1,Indian Super league 2021/2022
0,0.056751974,93,43,186,5,1,1,14,2,1,1,,,0,103.0,51.4,Indian Super league 2021/2022
0,0.020250158,94,29,199,5,0,0,5,2,1,1,,,2,96.6,23.3,Indian Super league 2021/2022
0,0.058660276,97,25,204,3,0,0,3,2,2,1,,,2,110.4,36.5,Indian Super league 2021/2022
0,0.11749809,101,39,214,1,1,1,7,0,1,1,,,3,117.2,34.6,Indian Super league 2021/2022
